가지어,가져
찌어,쪄
다치어,다쳐
늴리리,닐리리
닁큼,닝큼
무늬,무니
띄어쓰기,띠어쓰기
틔어,티어
희어,히어
희떱다,히떱다
희망,히망
유희,유히
주의,주이
협의,혀비
우리의,우리에
강의의,강이에
닦다,닥따
키읔,키윽
크읔과,키윽꽈
옷,옫
갓,갇
